table_id,source_file,record_scope,field_path,column_title,description,description_status,json_types,required_in_scope,nullable,repeatable,record_presence_count,record_count,value_count,example_json,linked_data_term,information_dimensions,current_editability,linked_art_candidate
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],@id,Id,Canonical or compact identifier for the described entity.,curated,string,yes,no,no,22,22,22,"""https://data.surinametijdmachine.org/organization/Q819296#editorial-override""",@id,identity,editor-managed,id
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],@type,Type,One or more semantic classes assigned to the entity.,curated,string,yes,no,no,22,22,22,"""OrganizationAuthorityOverride""",@type,vocabulary,editor-managed,type
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],modifiedAt,Modified At,Date of the latest saved editorial change.,curated,string,yes,no,no,22,22,22,"""2026-07-20""",http://purl.org/dc/terms/modified,provenance;time,editor-managed,prov:Activity (editorial extension)
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],modifiedBy,Modified By,GitHub account responsible for the latest saved editorial change.,curated,string,yes,no,no,22,22,22,"""Thunnisvanoort""",https://data.surinametijdmachine.org/modifiedBy,provenance,editor-managed,prov:Activity carried_out_by (editorial extension)
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],physicalLinkReviewStatus,Physical Link Review Status,Review state of E25-to-E74 plantation links.,curated,string,yes,no,no,22,22,22,"""confirmed-multiple""",https://data.surinametijdmachine.org/physicalLinkReviewStatus,provenance,editor-managed,
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],qid,Qid,Wikidata Q identifier used to reconcile a plantation organization.,curated,string,yes,no,no,22,22,22,"""Q819296""",https://data.surinametijdmachine.org/sourcePlantationQid,identity,editor-managed,
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],reviewedPhysicalPlaceIds,Reviewed Physical Place Ids,Complete set of physical place records reviewed together.,curated,array,yes,no,no,22,22,22,"[""stm-01150"",""stm-01151""]",https://data.surinametijdmachine.org/reviewedPhysicalPlaceId,provenance,editor-managed,
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],reviewedPhysicalPlaceIds[],Reviewed Physical Place Ids,Complete set of physical place records reviewed together.,curated,string,yes,no,yes,22,22,54,"""stm-01150""",https://data.surinametijdmachine.org/reviewedPhysicalPlaceId,provenance,editor-managed,
organization-authority-links,data/organization-authority-overrides.jsonld,@graph[],reviewStatus,Review Status,Editorial review state of an authority record.,curated,string,yes,no,no,22,22,22,"""unreviewed""",https://data.surinametijdmachine.org/authorityReviewStatus,provenance,editor-managed,
