recordKey,detailId,mediaId,segmentIndex,tcStart,tcEnd,startSeconds,endSeconds,segmentLabel,transcriptSnippet,personMentions,placeMentions,confidence,reviewedBy
04623531-cef0-3e94-e235-c6cf605bcd4f::f93a51a8-23ff-89ad-e386-892584671566,04623531-cef0-3e94-e235-c6cf605bcd4f,f93a51a8-23ff-89ad-e386-892584671566,1,00:00:00.000,00:00:40.000,0,40,full item,,,,,
04c19565-4ff0-cffd-8b41-d8ba288be226::f74c8d60-9ef6-7b30-6a62-2d9badc9e720,04c19565-4ff0-cffd-8b41-d8ba288be226,f74c8d60-9ef6-7b30-6a62-2d9badc9e720,1,00:00:00.000,00:02:31.000,0,151,full item,,,,,
04de88ec-2182-91ef-8757-bdbe60656de6::1d40de6c-c93a-1f90-eefb-e0ae7981a3f4,04de88ec-2182-91ef-8757-bdbe60656de6,1d40de6c-c93a-1f90-eefb-e0ae7981a3f4,1,00:00:00.000,00:01:58.000,0,118,full item,,,,,
0519f252-eb93-230b-0458-936d074b033a::5ce72e33-dd21-615f-5680-5caa4d50920c,0519f252-eb93-230b-0458-936d074b033a,5ce72e33-dd21-615f-5680-5caa4d50920c,1,00:00:00.000,00:01:51.000,0,111,full item,,,,,
051b4785-4009-3214-2230-2d06fa0f594b::328867e4-dfb8-dfbf-8640-9b0326e3df45,051b4785-4009-3214-2230-2d06fa0f594b,328867e4-dfb8-dfbf-8640-9b0326e3df45,1,00:00:00.000,00:07:22.000,0,442,full item,,,,,
05446c84-02cc-c71a-025a-32fbd1d9d805::6c88fe76-8b78-4fce-f0f9-01732d1569a2,05446c84-02cc-c71a-025a-32fbd1d9d805,6c88fe76-8b78-4fce-f0f9-01732d1569a2,1,00:00:00.000,00:02:14.000,0,134,full item,,,,,
05477a05-0c7d-7ae2-3aa1-b625dff8af5f::beeaba1d-90a6-8945-be18-6b8888769800,05477a05-0c7d-7ae2-3aa1-b625dff8af5f,beeaba1d-90a6-8945-be18-6b8888769800,1,00:00:00.000,00:07:58.000,0,478,full item,,,,,
0599466d-cace-4dd8-8b10-e932972bf541::f965b7f9-b110-9f2e-c3d0-8fba70cbc03e,0599466d-cace-4dd8-8b10-e932972bf541,f965b7f9-b110-9f2e-c3d0-8fba70cbc03e,1,00:00:00.000,00:02:31.000,0,151,full item,,,,,
060e8b68-57ee-7548-4381-a2a0d2aaf27e::39b56a3a-e6c4-6303-c8ae-4558a32bf245,060e8b68-57ee-7548-4381-a2a0d2aaf27e,39b56a3a-e6c4-6303-c8ae-4558a32bf245,1,00:00:00.000,00:00:44.000,0,44,full item,,,,,
065b1d2d-76ca-b5e8-14fc-76d7b512f10a::c4938e7c-53d6-9dbb-001c-4191be2bbe58,065b1d2d-76ca-b5e8-14fc-76d7b512f10a,c4938e7c-53d6-9dbb-001c-4191be2bbe58,1,00:00:00.000,00:09:42.000,0,582,full item,,,,,
