recordid;id;year;page;litt_std;district_of_divisie;loc_org;loc_std;river_or_road;direction;plantation_std;plantation_org;plantation_id;psur_id;psur_id2;has_parts1_lab;has_parts1_id;has_parts2_lab;has_parts2_id;has_parts3_lab;has_parts3_id;has_parts4_lab;has_parts4_id;part_of_lab;part_of_id;reference_org;owned_by_lab;owned_by_id;owned_by_id2;size_std;product_std;enslaved_norm;enslaved_shared_with;function;additional_info;deserted;lot;administrateurs;directeuren;eigenaren;administrateurs_in_Europa;administrateurs_in_suriname;blank-officier;slaven;sranantongo_naam;plantage_mannelijke_niet_vrije_bewoners;plantage_totaal_niet_vrije_bewoners;plantage_vrouwelijke_niet_vrije_bewoners;privé_mannelijke_niet_vrije_bewoners;privé_totaal_niet_vrije_bewoners;privé_vrouwelijke_niet_vrije_bewoners;soort_van_molen;totaal_generaal_bewoners;vrije_bewoners;generaal_totaal_slaven;generale_macht_slaven_geschikt_tot_werken_plantages;generale_macht_slaven_geschikt_tot_werken_privé;generale_macht_slaven_ongeschikt_tot_werken_plantages;generale_macht_slaven_ongeschikt_tot_werken_privé;totaal_slaven_op_de_plantages_aanwezig_geschikt_tot_werk;totaal_slaven_op_de_plantages_aanwezig_ongeschikt_tot_werk;vrije_personen_op_plantages_jongens;vrije_personen_op_plantages_mannen;vrije_personen_op_plantages_meisjes;vrije_personen_op_plantages_vrouwen;vrije_personen_op_plantages_totaal;werktuig_stoom;werktuig_water
1827-84-797;3905;1827;84;;;Nederdistrikt Nikeri;Atlantische kust;Atlantische kust;;Longmay;Lonmay;Q20979831;PSUR0205;;;;;;;;;;;;;;;;;koffie en kost;;;;;;;G. Cruden.;R. Cruden.;J.R. Cruden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827-84-798;3906;1827;84;;;Nederdistrikt Nikeri;Atlantische kust;Atlantische kust;;Plaisance;Plaisance;Q21000095;;;;;;;;;;;;;;;;;;koffie;;;;;;;W. Carbin.;W. Carbin.;Bl. Cruden.. ? W. Carbin en Co........ ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827-84-799;3907;1827;84;;;Nederdistrikt Nikeri;Atlantische kust;Atlantische kust;;Paradise;Paradise;Q21000089;PSUR0277;;;;;;;;;;;;;;;;;koffie en suiker;;;;;;;Colin Campbell Jr.;Jam. Kruckshank.;W. Stuwart.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827-84-800;3908;1827;84;;;Nederdistrikt Nikeri;Atlantische kust;Atlantische kust;;Een ontgonnen lot;Een ontgonen lot;Q131416384;;;;;;;;;;;;;;;;;;koffie;;;;;;;W. Carbin.;W. Carbin.;Charbon en Zn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827-84-801;3909;1827;84;;;Nederdistrikt Nikeri;Atlantische kust;Atlantische kust;;Lot 32, 33 en 34;Loten No. 32. en 34.;Q59116994;PSUR0213;PSUR0214;;;;;;;;;;;;;;;;kost en koffie;;;;;;;W. Carbin;W. Carbin;Charbon en Zn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-801;3910;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Willemshoop;Willemshoop;Q59134141;;;;;;;;;;;;;;;;;;hout;;;;;;;Jb. Goede.;Jb. Goede.;Jb. Goede.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-802;3911;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;La Ressource;La Ressource;Q59116900;PSUR0185;;;;;;;;;;;;;;;;;hout;;;;;;;P.D. van Esch, O.N. Engelbr. L.C. Stüger.;L.C. Stüger.;P.D.v. Esch, O.N. Engelbrecht, L.C. Stüger.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-803;3912;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;William-Stad;Williamstadt.;Q59134143;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;Wed. G.N. Linck, geb. Vogt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-804;3913;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Albion;Albion;Q59115136;PSUR0006;;;;;;;;;;;;;;;;;hout;;;;;;;W. Rac. Macdonald.;W. Rac. Macdonald.;Wed. Rac. Macdonald.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-805;3914;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;De Vier Hendrikken;De vier Hendrikken;Q59115497;PSUR0090;;;;;;;;;;;;;;;;;hout;;;;;;;J. Evans.;J.C. Decker.;J. Evans.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-806;3915;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Sonnette;Sonnette;Q59133845;PSUR0315;;;;;;;;;;;;;;;;;hout;;;;;;;M.A. Salomons.;S. Machielse, Jr.;C.J. Smith.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-100-807;3916;1828;100;H;;Rivier Saramacca (boven) linkerhand in het opvaren;Boven-Saramacca;Saramacca;links opvaren;Libanon (Land van);Land van de Libamon;Q124831293;;;;;;;;;;;;;;;;;;hout;;;;;;;F. Beudeker.;J. Abenaker.;F. Beudeker.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
