recordid;id;year;page;litt_std;district_of_divisie;loc_org;loc_std;river_or_road;direction;plantation_std;plantation_org;plantation_id;psur_id;psur_id2;has_parts1_lab;has_parts1_id;has_parts2_lab;has_parts2_id;has_parts3_lab;has_parts3_id;has_parts4_lab;has_parts4_id;part_of_lab;part_of_id;reference_org;owned_by_lab;owned_by_id;owned_by_id2;size_std;product_std;enslaved_norm;enslaved_shared_with;function;additional_info;deserted;lot;administrateurs;directeuren;eigenaren;administrateurs_in_Europa;administrateurs_in_suriname;blank-officier;slaven;sranantongo_naam;plantage_mannelijke_niet_vrije_bewoners;plantage_totaal_niet_vrije_bewoners;plantage_vrouwelijke_niet_vrije_bewoners;privé_mannelijke_niet_vrije_bewoners;privé_totaal_niet_vrije_bewoners;privé_vrouwelijke_niet_vrije_bewoners;soort_van_molen;totaal_generaal_bewoners;vrije_bewoners;generaal_totaal_slaven;generale_macht_slaven_geschikt_tot_werken_plantages;generale_macht_slaven_geschikt_tot_werken_privé;generale_macht_slaven_ongeschikt_tot_werken_plantages;generale_macht_slaven_ongeschikt_tot_werken_privé;totaal_slaven_op_de_plantages_aanwezig_geschikt_tot_werk;totaal_slaven_op_de_plantages_aanwezig_ongeschikt_tot_werk;vrije_personen_op_plantages_jongens;vrije_personen_op_plantages_mannen;vrije_personen_op_plantages_meisjes;vrije_personen_op_plantages_vrouwen;vrije_personen_op_plantages_totaal;werktuig_stoom;werktuig_water
1818-100-656;137;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Nieuw-Zorg;Nieuw Zorg;Q59132896;;;;;;;;;;;;;;;;;;hout;;;;;;;F.C.G. Homeyer;F.C. Homeyer;F.C.G. Homeyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-657;138;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Fredrikshoop;Frederikshoop;Q59115594;;;;;;;;;;;;;;;;;;hout;;;;;;;F.F. Franke;F.F. Franke;F.F. Franke;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-658;139;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Vier Kinderen;Vier Kinderen;Q124832141;;;;;;;;;;;;;Aan Plantage Ephraimszegen;Ephraïmszegen;Q59115556;;;hout;;;;;;;;;Aan Plantage Ephraimszegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-659;140;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Abigaëlslust;Abigaëlslust;Q59115117;;;;;;;;;;;;;;;;;;hout;;;;;;;J.G. Fonseca;S.G. Fonseca;J.G. Fonseca;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-660;141;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Anna's Lust;Annaslust;Q59115155;;;;;;;;;;;;;;;;;;hout;;;;;;;de Wed. H.J. Goedman;D.H. Goedman;de Wed. H.J. Goedman;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-661;142;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Staf Arons;Staf Arons;Q59133885;;;;;;;;;;;;;;;;;;hout;;;;;;;C. Goede;C. Goede;C. Goede;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-662;143;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Helena Christina;Helena Christina;Q59115683;;;;;;;;;;;;;;;;;;hout;;;;;;;Wed. Wolff Moses Wolffs;;Wed. Wolff Moses Wolffs;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-663;144;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Mijnzorg;Mynzorg;Q59119413;;;;;;;;;;;Mijnzorg en Discordia;Q59119426;;;;;;hout;;;;;;;Sequesters van den Hove Civiel;Nieuwhoff;Wed. Wolff Moses Wolffs;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-664;145;1818;100;;;Pad van Wanica, regterhand;Pad van Wanica;Paramaribo over land;rechts;Zorg en Vrij;Zorg en vrij;Q59134235;;;;;;;;;;;;;;;;;;hout;;;;;;;J.W. Beeldsnyder;Trowies;Wed. Muntz;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-665;146;1818;100;;;Pad van Wanica, linkerhand;Pad van Wanica;Paramaribo over land;links;Blij en Hoop;Bleyenhoop;Q59115265;;;;;;;;;;;;;;;;;;kost;;;;;;;J. Bernard;J. Bernard;J. Bernard;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-666;147;1818;100;;;Pad van Wanica, linkerhand;Pad van Wanica;Paramaribo over land;links;Bergershoop;Bergenshoop;Q59115229;;;;;;;;;;;;;;;;;;hout;;;;;;;Sequesters van den Hove Civiel;Nieuwhoff, opzigter;Wed. A. van Bergen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-100-667;148;1818;100;;;Pad van Wanica, linkerhand;Pad van Wanica;Paramaribo over land;links;Halfhideslust;Halfhideslust;Q59115669;;;;;;;;;;;;;;;;;;hout;;;;;;;D.J. Pardo;D.J. Pardo;D.J. Pardo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-668;149;1818;101;;;Pad van Wanica, linkerhand;Pad van Wanica;Paramaribo over land;links;Klein Nieuw Meerzorg;Klein Nieuw Meerzorg;Q59116820;;;;;;;;;;;;;;;;;;hout;;;;;;;Wed. H.J. Goedman;E.H. Goedman;Wed. H.J. Goedman;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-669;150;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Kent;Kent en;Q59115757;PSUR0158;;;;;;;;;;Kent en Agenoria;Q131349032;;;;;;koffie en katoen;;;;;;;Heweth en Rickets;W. Elder;Heweth en Rickets;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-670;151;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Agenoria;Agenoria;Q59115130;;;;;;;;;;;Kent en Agenoria;Q131349032;;;;;;koffie en katoen;;;;;;;Heweth en Rickets;W. Elder;Heweth en Rickets;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-671;152;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Barclay;Barklay;Q59115191;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-672;153;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Greenfield;Greenfield;Q59115643;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-673;154;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Caledonia;Caledonia;Q59115352;PSUR0051;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-674;155;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Concordia;Concordia;Q137025865;;;;;;;;;;;;;;;;;;koffie en katoen;;;;;;;T. Tufts;W. Fritsche;John Wilson;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-675;156;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Braak;Braak;Q59115300;;;;;;;;;;;;;;;;;;;;;militaire post;Verlaten Militaire Post;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-676;157;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Carel François;Carel Francois;Q59115359;;;;;;;;;;;;;Zie Plantage Hamburg;Hamburg;Q124830731;;;;;;;;;;;;Zie Plantage Hamburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-677;158;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Catharina Sophia;Catharina Sophia;Q13457818;PSUR0054;;;;;;;;;;;;;;;;;suiker;;;;;;;F. Beudeker en J.E. van Onna;W. Greeven;Boedel J.F. Friderici;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-678;159;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Anna Maria;Anna Maria;Q59115151;PSUR0014;;;;;;;;;;;;;;;;;koffie;;;;;;;J.J.F de Friderici Jr.;J. Rocs;J.J.F de Friderici Jr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-679;160;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Smitfield;Smitfield;Q59133840;;;;;;;;;;;;;;;;;;koffie;;;;;;;Th. Smith;;Th. Smith;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-680;161;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Groningen;Groningen;Q508935;;;;;;;;;;;;;;;;;;;;;militaire post;Militaire Hoofd Post;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-681;162;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Werk en Rust;Werk en Rust;Q124834136;;;;;;;;;;;;;;;;;;kost;;;;;;;J.H. Samson;J.H. Samson;J.H. Samson;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-101-682;163;1818;101;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Moederszorg;Moederszorg;Q124831606;;;;;;;;;;;;;;;;;;kost;;;;;;;Vrouwe S. Rucker;T. van Pelserins;Vrouwe S. Rucker;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-683;164;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;De Goede Hoop;de Goede Hoop;Q59115446;PSUR0077;;;;;;;;;;;;;;;;;kost;;;;;;;Maria van Doesburg;J.G. Vieira;Maria van Doesburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-684;165;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Monitor;Monitor;Q59132789;PSUR0243;;;;;;;;;;;;;;;;;koffie;;;;;;;de Gebroeders Abendanon;J. Davilaar;de Gebroeders Abendanon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-685;166;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Johanneshoop;Johanneshoop;Q59115744;;;;;;;;;;;;;;;;;;koffie;;;;;;;Anna van Lutje Hagen;Lyons;Anna van Lutje Hagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-686;167;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;La Poule;ta Poule;Q59116887;PSUR0182;;;;;;;;;;;;;;;;;koffie;;;;;;;Sequesters van den Hove Civiel;J. Rudelson;de Boedel P.N. Arden;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-687;168;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Rachelshoop;Rachelshoop;Q59133119;;;;;;;;;;;;;;;;;;hout;;;;;;;Lucretia van Lobo;J. Lobo;Lucretia van Lobo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-688;169;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Vriendslust;Vriendslust;Q59134038;;;;;;;;;;;;;;;;;;hout;;;;;;;Juffr. M. Dames;C. van Perica;Juffr. M. Dames;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-689;170;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;De Goede Intentie;De Goede Intentie;Q59115447;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-690;171;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Elizabethshoop;Elizabethshoop;Q59115549;;;;;;;;;;;;;;;;;;hout;;;;;;;D.J. Lobo;J. Lobo;D.J. Lobo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-691;172;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Hamburg;Hamburg;Q124830731;PSUR0130;;;;;;;;;;;;;;;;;suiker;;;;;;;G.N. Linck;W. Boers;G.N. Linck;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-692;173;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Boston;Boston;Q59115297;;;;;;;;;;;;;;;;;;hout;;;;;;;;;T.A. Lemmers Godefroy;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-693;174;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Seulen;Seulen;Q59133827;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-694;175;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Groningerland;Groningerland;Q59115651;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-102-695;176;1818;102;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Vaderzorg (Saramacca);Vaderszorg;Q124832087;;;;;;;;;;;;;;;;;;hout;;;;;;;Juffr van Middelyn;Peneux;Juffr van Middelyn;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-696;177;1818;103;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Maria's Lust;Mariaslust;Q124831565;;;;;;;;;;;;;;;;;;hout;;;;;;;S.G. Hoppe;;S.G. Hoppe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-697;178;1818;103;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Nooit Gedacht en Karelsburg;Nooit Gedacht en Carelsburg;Q59132931;;;Nooit Gedacht;Q130535970;Karelsburg;Q59115751;;;;;;;;;;;;hout;;;;;;;Adm. Van Wyngaarde;S. Petrus;Adm. Van Wyngaarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-699;179;1818;103;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Twee Gebroeders;Twee Gebroeders;Q124832084;;;;;;;;;;;;;;;;;;hout;;;;;;;Gebroeders Fernandes;;Gebroeders Fernandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-700;180;1818;103;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;Buckerszorg;Ruckerszorg;Q59115337;;;;;;;;;;;;;;;;;;hout;;;;;;;M.A. Wolff;…..;W. Rucker;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-701;181;1818;103;;;Rivier Saramacca, regterhand;Saramacca;Saramacca;rechts;La Solitude;la Solitude;Q59116905;;;;;;;;;;;;;;;;;;hout;;;;;;;E.M. Schelkes;E.M. Schelkes;E.M. Schelkes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-702;182;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Kiesiespunt;Kiesiespoint;Q59116800;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-703;183;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Jeckelsburg;Jeckelsbruck en;Q59115730;;;;;;;;;;;Jeckelsbruck en Blitsdorf;Q131349030;;;;;;katoen;;;;;;;J.J.G. Spilker;J.A. Ritter;C.W. van Jeckel des Borgnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-704;184;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Blitsdorf;Blitzdorf;Q59115268;;;;;;;;;;;Jeckelsbruck en Blitsdorf;Q131349030;;;;;;katoen;;;;;;;J.J.G. Spilker;J.A. Ritter;C.W. van Jeckel des Borgnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-705;185;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Londondery;Londondery;Q59116979;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-706;186;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Huwelijkszorg;Huwelykszorg;Q59115708;PSUR0145;;;;;;;;;;;;;;;;;koffie en katoen;;;;;;;G.H.C. Buck n. ux;J.A. Ritter;G.H.C. Buck n. ux;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-707;187;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;De Dankbaarheid;Dankbaarheid;Q59115440;PSUR0073-A;PSUR0073-B;;;;;;;;;;;;;;;;koffie;;;;;;;J.F. Ohland;;Boedel Behrens;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-708;188;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;La Prévoyance;La Prevoyance;Q59116888;;;;;;;;;;;;;;;;;;koffie;;;;;;;F. Beudeker en J.E. van Onna;H. Iteritz;Boedel J.F. Friderici;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-103-709;189;1818;103;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Mijn Vermaak;Mynvermaak;Q59118029;PSUR0233;;;;;;;;;;;;;;;;;koffie;;;;;;;F. Beudeker;H. Iteritz, opzigter;F. Beudeker;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-710;190;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Broederschap;Broedersschap;Q59115314;PSUR0043;;;;;;;;;;;;;;;;;koffie;;;;;;;J.N. Braam;J.N. Braam;J.N. Braam;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-711;191;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;De Eendragt (Saramacca);de Eendragt;Q124827875;PSUR0100;;;;;;;;;;;;;;;;;koffie;;;;;;;S. van Thol;John More;S. van Thol;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-712;192;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;De Morgenster;Morgenstar;Q59115469;PSUR0085;;;;;;;;;;;;;;;;;koffie;;;;;;;S.A. Gerholdt;J. Staal;Boedel J.J. Leysner;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-713;193;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Johanna Catharina;Johanna Catharina;Q59115735;PSUR0150;;;;;;;;;;;;;;;;;koffie en cacao;;;;;;;C.L. Weissenbruch;F. Frederiks;Vrouwe J.C.M. Pepin;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-714;194;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Voorzorg Beneden-Saramacca;Etablissement Voorzorg;Q59134011;;;;;;;;;;;;;;;;;;kost;;;;;;;De Gecommitteerde Raden uit den Hove van Politie;C. Meyer;Aan het Land;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-715;195;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;De Goede Verwachting;De Goede Verwachting;Q59115449;;;;;;;;;;;;;;;;;;kost;;;;;;;J.H. Heck;J.H. Heck;J.H. Heck;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-716;196;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Tyrol;Tyrol;Q59133965;;;;;;;;;;;;;;;;;;koffie;;;;;;;G.H.C. Buck n. ux;….;G.H.C. Buck n. ux;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-717;197;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Friderici's gift;Fridericsgift;Q59115596;;;;;;;;;;;;;;;;;;koffie en cacao;;;;;;;J.W. Beeldsnyder en J. Brink;J.W. Beeldsnyder;J.W. Beeldsnyder en de Erven W.W. Beeldsnyder;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-718;198;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Bijgeval;Bygeval;Q59115250;;;;;;;;;;;;;;;;;;hout;;;;;;;Simon Abendanon;J. Davilaar;Simon Abendanon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-719;199;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;De Uitkijk;de Uitkijk;Q59115486;;;;;;;;;;;;;Zie Plantage Hamburg;Hamburg;Q124830731;;;;;;;;;;;;Zie Plantage Hamburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-720;200;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Antigua;Antigua;Q59115163;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-104-721;201;1818;104;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Carolina;Carolina;Q59115369;;;;;;;;;;;;;;;;;;hout;;;;;;;Weduwe Isak Emanuels;;Weduwe Isak Emanuels;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-722;202;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;De Nieuwe Hoop;De Nieuwe Hoop en;Q124830243;PSUR0252;;;;;;;;;;Wilhelmina Catharina Frederica en De Nieuwe Hoop;Q131349004;;;;;;hout;;;;;;;Fernandes en Nahar;J.C. Groenert;Fernandes en Nahar;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-723;203;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Wilhelmina Catharina Frederica;Wilhelmina Catharina Frederica;Q59134116;PSUR0355;;;;;;;;;;Wilhelmina Catharina Frederica en De Nieuwe Hoop;Q131349004;;;;;;hout;;;;;;;Fernandes en Nahar;J.C. Groenert;Fernandes en Nahar;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-724;204;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Haarlem;Haarlem;Q59115665;;;;;;;;;;;;;;;;;;hout;;;;;;;Sequesters van den Hove Civil;J.C. Groenert, opzigter;H.E. Vieira;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-725;205;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Sara's-lust (Saramacca);Saraslust;Q59133269;;;;;;;;;;;Windsor-Forest en Sara's-lust;Q131349099;;;;;;hout;;;;;;;Isaak de la Parra;Isaak de la Parra;Isaak de la Parra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-726;206;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Windsor-Forest;Windsor Forrest;Q59134146;;;;;;;;;;;Windsor-Forest en Sara's-lust;Q131349099;;;;;;hout;;;;;;;Jos de la Parra;;Jos de la Parra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-727;207;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Libanon (Land van);Libanon;Q124831293;;;;;;;;;;;;;;;;;;hout;;;;;;;F. Beudeker;J. Abenaer;F. Beudeker;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-728;208;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Sonnette;Sonnette;Q59133845;PSUR0315;;;;;;;;;;;;;;;;;hout;;;;;;;E.M. Schelkes;E.M. Schelkes;E.M. Schelkes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-729;209;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;De Vier Hendrikken;De Vier Hendrikken;Q59115497;PSUR0090;;;;;;;;;;;;;;;;;hout;;;;;;;G.H.C. Buck n. ux;….......;G.H.C. Buck n. ux;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-730;210;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Albion;Albion;Q59115136;PSUR0006;;;;;;;;;;;;;;;;;hout;;;;;;;H. Adney;D. van Buttner;H. Adney;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-731;211;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;William-Stad;William Stad;Q59134143;;;;;;;;;;;;;Zie Plantage Hamburg;Hamburg;Q124830731;;;hout;;;;;;;;;Zie Plantage Hamburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-732;212;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;La Ressource;La Resource;Q59116900;PSUR0185;;;;;;;;;;;;Zie Plantage Sonnette;Sonnette;Q59133845;;;hout;;;;;;;;;Zie Plantage Sonnette;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-733;213;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;La Nouvelle Entreprise;La Nouvelle Enterprise;Q59116875;;;;;;;;;;;;;;;;;;hout;;;;;;;E.J. Abercrombie;Jetsen;E.J. Abercrombie;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-734;214;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Willemshoop;Willemshoop;Q59134141;;;;;;;;;;;;;;;;;;hout;;;;;;;Goede;Goede;Goede;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-105-735;215;1818;105;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Lemmershoop;Lemmershoop;Q59116945;;;;;;;;;;;;;;;;;;hout;;;;;;;M.A. Roux en C.A. Lemmers Godeffroy;J.G. Boss;de Boedel J.J. Lemmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-106-736;216;1818;106;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Staf Arons;Nieuwe Staf-Arons;Q59133881;;;;;;;;;;;;;;;;;;hout;;;;;;;Sanches;Samuel Hansen;de Boedel Polak;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-106-737;217;1818;106;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Isaäcs-hoop;Isaakshoop;Q59115717;PSUR0081;;;;;;;;;;;;;;;;;hout;;;;;;;Isaak Samuels;Isaak Samuels;Isaak Samuels;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-106-738;218;1818;106;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Rose Valley;Roose Vally;Q59133197;;;;;;;;;;;;;;;;;;hout;;;;;;;L. Roose;L. Roose;L. Roose;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-106-739;219;1818;106;;;Rivier Saramacca, linkerhand;Saramacca;Saramacca;links;Pikin Saron;Saron;Q77969114;;;;;;;;;;;;;;;;;;;;;militaire post;Militaire Post;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-28-1;220;1818;28;;;Rivier Suriname, regterhand;Suriname;Suriname;rechts;Leonsberg;Leonsberg;Q59116947;PSUR0197;;;;;;;;;;;;;;;;;koffie;;;;;;;Abraham de Leon;Isaak Monsanto.;Abraham de Leon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818-28-10;221;1818;28;;;Rivier Suriname, regterhand;Suriname;Suriname;rechts;Ma Retraite (Land van);Land van Ma Retraite;Q124831358;;;;;;;;;;;;;zie Plantantage Ma Retraite aan de Booms Kreek;Ma Retraite;Q59117017;;;bos;;;;;;;;;zie Plant. Ma Retraite aan de Booms Kreek;;;;;;;;;;;;;;;;;;;;;;;;;;;;
