lpId,adres1885,straatnaam1885,zoneType,lpAddressStatus,isLinkableAddress,linkingStatus,hasGeometry,candidateCount,candidateSummary
2165,EBW175,Crommelinstraat,renumbered-1885,address,yes,matched,yes,2,3580 | 1885 | 1e BW 175 | Crommelinstraat | 1885-exact-components+street || 5311 | 1885 | 1e BW 175 | Crommelinstraat | 1885-exact-components+street
2166,EBW176,Crommelinstraat,renumbered-1885,address,yes,matched,yes,5,3578 | 1885 | 1e BW 176 b | Crommelinstraat | 1885-fallback-core-only+street || 3579 | 1885 | 1e BW 176 a | Crommelinstraat | 1885-fallback-core-only+street || 5308 | 1885 | 1e BW 176 | Crommelinstraat | 1885-exact-components+street || 5309 | 1885 | 1e BW 176 | Crommelinstraat | 1885-exact-components+street || 5310 | 1885 | 1e BW 176 | Crommelinstraat | 1885-exact-components+street
2167,EBW177,Crommelinstraat,renumbered-1885,address,yes,matched,yes,2,3577 | 1885 | 1e BW 177 | Crommelinstraat | 1885-exact-components+street || 5306 | 1885 | 1e BW 177 a | Crommelinstraat | 1885-fallback-core-only+street
2168,EBW178,Crommelinstraat,renumbered-1885,address,yes,matched,yes,2,3576 | 1885 | 1e BW 178 | Crommelinstraat | 1885-exact-components+street || 5304 | 1885 | 1e BW 178 | Crommelinstraat | 1885-exact-components+street
2169,EBW179,Crommelinstraat,renumbered-1885,address,yes,matched,yes,1,3270 | 1885 | 1e BW 179 | Crommelinstraat | 1885-exact-components+street
2170,EBW180,Crommelinstraat,renumbered-1885,address,yes,matched,yes,6,3244 | 1885 | 1e BW 180 | Crommelinstraat | 1885-exact-components+street || 3249 | 1885 | 1e BW 180 | Crommelinstraat | 1885-exact-components+street || 3252 | 1885 | 1e BW 180 | Crommelinstraat | 1885-exact-components+street || 3257 | 1885 | 1e BW 180 | Crommelinstraat | 1885-exact-components+street || 3264 | 1885 | 1e BW 180 | Crommelinstraat | 1885-exact-components+street || 3266 | 1885 | 1e BW 180 | Crommelinstraat | 1885-exact-components+street
2171,EBW181,Crommelinstraat,renumbered-1885,address,yes,matched,yes,3,3283 | 1885 | 1e BW 181 | Crommelinstraat | 1885-exact-components+street || 3284 | 1885 | 1e BW 181 | Crommelinstraat | 1885-exact-components+street || 3285 | 1885 | 1e BW 181 | Crommelinstraat | 1885-exact-components+street
2172,EBW182,Crommelinstraat,renumbered-1885,address,yes,matched,yes,4,3303 | 1885 | 1e BW 182 | Crommelinstraat | 1885-exact-components+street || 3306 | 1885 | 1e BW 182 | Crommelinstraat | 1885-exact-components+street || 3307 | 1885 | 1e BW 182 | Crommelinstraat | 1885-exact-components+street || 3308 | 1885 | 1e BW 182 | Crommelinstraat | 1885-exact-components+street
2173,EBW183,Crommelinstraat,renumbered-1885,address,yes,matched,yes,2,3340 | 1885 | 1e BW 183 | Crommelinstraat | 1885-exact-components+street || 3344 | 1885 | 1e BW 183 | Crommelinstraat | 1885-exact-components+street
2174,EBW184,Crommelinstraat,renumbered-1885,address,yes,matched,yes,3,3572 | 1885 | 1e BW 184 ab | Crommelinstraat | 1885-fallback-core-only+street || 3573 | 1885 | 1e BW 184 ab | Crommelinstraat | 1885-fallback-core-only+street || 3574 | 1885 | 1e BW 184 ab | Crommelinstraat | 1885-fallback-core-only+street
2175,EBW185,Crommelinstraat,renumbered-1885,address,yes,matched,yes,1,3571 | 1885 | 1e BW 185 | Crommelinstraat | 1885-exact-components+street
2176,EBW186,Crommelinstraat,renumbered-1885,address,yes,matched,yes,1,3570 | 1885 | 1e BW 186 | Crommelinstraat | 1885-exact-components+street
2177,EBW187,Crommelinstraat,renumbered-1885,address,yes,matched,yes,1,3568 | 1885 | 1e BW 187 | Crommelinstraat | 1885-exact-components+street
2178,EBW188,Crommelinstraat,renumbered-1885,address,yes,matched,yes,3,3569 | 1885 | 1e BW 188 | Crommelinstraat | 1885-exact-components+street || 4703 | 1885 | 1e BW 188 a | Crommelinstraat | 1885-fallback-core-only+street || 4704 | 1885 | 1e BW 188 b | Crommelinstraat | 1885-fallback-core-only+street
2179,EBW189,Nepveugracht,renumbered-1885,address,yes,matched,yes,5,3349 | 1885 | 1e BW 189 | Nepveugracht | 1885-exact-components+street || 3352 | 1885 | 1e BW 189 | Nepveugracht | 1885-exact-components+street || 3355 | 1885 | 1e BW 189 | Nepveugracht | 1885-exact-components+street || 3357 | 1885 | 1e BW 189 | Nepveugracht | 1885-exact-components+street || 3361 | 1885 | 1e BW 189 | Nepveugracht | 1885-exact-components+street
2180,EBW190,Nepveugracht,renumbered-1885,address,yes,matched,yes,1,5296 | 1885 | 1e BW 190 | Nepveugracht | 1885-exact-components+street
2181,EBW192,Nepveugracht,renumbered-1885,address,yes,matched,yes,3,3342 | 1885 | 1e BW 192 | Nepveugracht | 1885-exact-components+street || 3343 | 1885 | 1e BW 192 | Nepveugracht | 1885-exact-components+street || 3346 | 1885 | 1e BW 192 | Nepveugracht | 1885-exact-components+street
2182,EBW191,Nepveugracht,renumbered-1885,address,yes,matched,yes,1,3345 | 1885 | 1e BW 191 | Nepveugracht | 1885-exact-components+street
2183,EBW193,Nepveugracht,renumbered-1885,address,yes,matched,yes,7,3320 | 1885 | 1e BW 193 | Nepveugracht | 1885-exact-components+street || 3321 | 1885 | 1e BW 193 | Nepveugracht | 1885-exact-components+street || 3322 | 1885 | 1e BW 193 | Nepveugracht | 1885-exact-components+street || 3323 | 1885 | 1e BW 193 | Nepveugracht | 1885-exact-components+street || 3324 | 1885 | 1e BW 193 | Nepveugracht | 1885-exact-components+street || 3328 | 1885 | 1e BW 193 | Nepveugracht | 1885-exact-components+street || 3329 | 1885 | 1e BW 193 | Nepveugracht | 1885-exact-components+street
2184,EBW194,Nepveugracht,renumbered-1885,address,yes,matched,yes,4,3330 | 1885 | 1e BW 194 | Nepveugracht | 1885-exact-components+street || 3337 | 1885 | 1e BW 194 | Nepveugracht | 1885-exact-components+street || 3338 | 1885 | 1e BW 194 | Nepveugracht | 1885-exact-components+street || 3339 | 1885 | 1e BW 194 | Nepveugracht | 1885-exact-components+street
2185,EBW195,Nepveugracht,renumbered-1885,address,yes,matched,yes,2,3313 | 1885 | 1e BW 195 | Nepveugracht | 1885-exact-components+street || 3319 | 1885 | 1e BW 195 | Nepveugracht | 1885-exact-components+street
2186,EBW196,Nepveugracht,renumbered-1885,address,yes,matched,yes,1,3297 | 1885 | 1e BW 196 | Nepveugracht | 1885-exact-components+street
2187,EBW197,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,1,3298 | 1885 | 1e BW 197 | Tweede Dwarsstraat | 1885-exact-components+street
2188,EBW198,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,2,3304 | 1885 | 1e BW 198 | Tweede Dwarsstraat | 1885-exact-components+street || 3305 | 1885 | 1e BW 198 | Tweede Dwarsstraat | 1885-exact-components+street
