europeanaId,europeanaGuid,europeanaType,field,category,matchedTerm,matchedTermNormalized,canonicalName,matchSource,stmGazetteerId,termAmbiguityCount,surinameConfidence,isStrictSuriname,naturalHistoryFlag,title,snippet,plantationContextHint,streetContextHint,lowHangingSpecific,reviewBucket
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-00715,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-00852,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-00852,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-00855,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-00855,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-00859,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-00859,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-02147,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_aa9696a2_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Onverwacht,onverwacht,Onverwacht,stm-gazetteer,stm-02147,5,strict,true,false,"Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht","Prinses Beatrix in Suriname, in Onverwacht neemt zij geschenk in ontvangst van meisje in Koto klederdracht",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00935,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00935,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,title,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00960,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84,https://www.europeana.eu/item/1417/https___archief_nl_id_foto_ad960bee_d0b4_102d_bcf8_003048976d84?utm_source=api&utm_medium=api&utm_campaign=ookerleus,IMAGE,description,plantation,Carel Francois,carel francois,Carel Francois,stm-gazetteer,stm-00960,4,strict,true,false,"Suriname. Oud Opschrift Convicts, mostly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]","stly Javanese and Negro, building a new road near Carel Francois [Strafgevangenen, merendeels Javanen en Creolen, bouwen een nieuwe weg nabij Carel Francois]",false,false,false,ambiguous
